site_id,local_site_name,address,latitude,longitude,date,parameter,units,sample_measurement,aqi
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-21,Ozone,Parts per million,0.036882,42.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-22,Ozone,Parts per million,0.025412,30.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-23,Ozone,Parts per million,0.035294,39.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-24,Ozone,Parts per million,0.045941,49.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-25,Ozone,Parts per million,0.046176,51.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-26,Ozone,Parts per million,0.046529,58.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-27,Ozone,Parts per million,0.041235,47.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-28,Ozone,Parts per million,0.032059,32.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-29,Ozone,Parts per million,0.033765,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-30,Ozone,Parts per million,0.031824,34.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-31,Ozone,Parts per million,0.032588,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-01,Ozone,Parts per million,0.043059,46.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-02,Ozone,Parts per million,0.057529,84.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-03,Ozone,Parts per million,0.044941,51.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-04,Ozone,Parts per million,0.036706,41.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-05,Ozone,Parts per million,0.056235,97.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-06,Ozone,Parts per million,0.044706,49.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-07,Ozone,Parts per million,0.027941,33.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-08,Ozone,Parts per million,0.041765,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-09,Ozone,Parts per million,0.052118,112.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-10,Ozone,Parts per million,0.035733,37.0
