geoid,tract_name,total_pop,median_hh_income,poverty_count,bachelors_up_count,owner_occupied,nonwhite_count,median_gross_rent
39035177604,Census Tract 1776.04; Cuyahoga County; Ohio,1959,82176,65,287,740,241,1266
39035177605,Census Tract 1776.05; Cuyahoga County; Ohio,2693,76856,145,512,939,302,1645
39035177606,Census Tract 1776.06; Cuyahoga County; Ohio,3298,63750,345,630,1122,740,1134
39035177607,Census Tract 1776.07; Cuyahoga County; Ohio,3603,61894,344,591,818,386,978
39035177608,Census Tract 1776.08; Cuyahoga County; Ohio,6407,57897,545,1046,1487,2589,1104
39035177609,Census Tract 1776.09; Cuyahoga County; Ohio,1988,94911,138,432,638,155,1344
39035178101,Census Tract 1781.01; Cuyahoga County; Ohio,2520,71705,180,596,938,433,1070
39035178102,Census Tract 1781.02; Cuyahoga County; Ohio,4410,63964,362,1352,948,921,1191
39035178201,Census Tract 1782.01; Cuyahoga County; Ohio,3310,61270,397,781,1157,690,1155
39035178204,Census Tract 1782.04; Cuyahoga County; Ohio,5393,46472,1453,505,680,2387,996
39035178205,Census Tract 1782.05; Cuyahoga County; Ohio,1993,84779,136,402,654,410,1272
39035178206,Census Tract 1782.06; Cuyahoga County; Ohio,2955,71964,301,509,967,718,1342
39035179101,Census Tract 1791.01; Cuyahoga County; Ohio,4077,170000,113,2364,1569,1117,NA
39035179102,Census Tract 1791.02; Cuyahoga County; Ohio,2763,250001,4,1758,1003,758,NA
39035180102,Census Tract 1801.02; Cuyahoga County; Ohio,3996,76611,405,1065,1790,2512,1705
39035180103,Census Tract 1801.03; Cuyahoga County; Ohio,3650,80899,213,1093,1315,2534,1132
39035180104,Census Tract 1801.04; Cuyahoga County; Ohio,2980,42634,398,371,132,2503,943
39035181100,Census Tract 1811; Cuyahoga County; Ohio,7356,107279,422,3775,2145,546,1022
39035181201,Census Tract 1812.01; Cuyahoga County; Ohio,6202,91620,352,2444,2121,770,868
39035181203,Census Tract 1812.03; Cuyahoga County; Ohio,2904,106250,86,1504,1099,157,1007
39035181204,Census Tract 1812.04; Cuyahoga County; Ohio,5028,77158,281,2392,1421,751,1412
39035182103,Census Tract 1821.03; Cuyahoga County; Ohio,2851,105833,192,875,1063,414,1655
39035182104,Census Tract 1821.04; Cuyahoga County; Ohio,2351,101825,49,695,962,158,NA
39035182105,Census Tract 1821.05; Cuyahoga County; Ohio,3478,93500,279,798,1271,443,1594
39035182106,Census Tract 1821.06; Cuyahoga County; Ohio,2923,94443,36,802,1308,411,NA
39035183100,Census Tract 1831; Cuyahoga County; Ohio,3294,66102,288,1701,595,1628,1033
39035183200,Census Tract 1832; Cuyahoga County; Ohio,2541,250001,72,1580,863,312,1231
39035183300,Census Tract 1833; Cuyahoga County; Ohio,4521,184063,97,2636,1529,1137,1838
39035183401,Census Tract 1834.01; Cuyahoga County; Ohio,2195,165913,66,1137,650,721,1420
39035183402,Census Tract 1834.02; Cuyahoga County; Ohio,1597,53750,320,549,395,1435,919
39035183501,Census Tract 1835.01; Cuyahoga County; Ohio,3411,95714,156,1518,667,1297,1456
39035183502,Census Tract 1835.02; Cuyahoga County; Ohio,3708,115952,409,1775,1026,1482,922
39035183603,Census Tract 1836.03; Cuyahoga County; Ohio,1355,49589,206,508,257,1308,734
39035183604,Census Tract 1836.04; Cuyahoga County; Ohio,2029,84659,363,1054,687,1486,990
